,Play,Player,PlayerLine
32432,Hamlet,CYMBELINE,ACT I
32433,Hamlet,CYMBELINE,SCENE I. Elsinore. A platform before the castle.
32434,Hamlet,CYMBELINE,FRANCISCO at his post. Enter to him BERNARDO
32435,Hamlet,BERNARDO,Who's there?
32436,Hamlet,FRANCISCO,"Nay, answer me: stand, and unfold yourself."
32437,Hamlet,BERNARDO,Long live the king!
32438,Hamlet,FRANCISCO,Bernardo?
32439,Hamlet,BERNARDO,He.
32440,Hamlet,FRANCISCO,You come most carefully upon your hour.
32441,Hamlet,BERNARDO,"'Tis now struck twelve, get thee to bed, Francisco."
32442,Hamlet,FRANCISCO,"For this relief much thanks: 'tis bitter cold,"
32443,Hamlet,FRANCISCO,And I am sick at heart.
32444,Hamlet,BERNARDO,Have you had quiet guard?
32445,Hamlet,FRANCISCO,Not a mouse stirring.
32446,Hamlet,BERNARDO,"Well, good night."
32447,Hamlet,BERNARDO,"If you do meet Horatio and Marcellus,"
32448,Hamlet,BERNARDO,"The rivals of my watch, bid them make haste."
32449,Hamlet,FRANCISCO,"I think I hear them. Stand, ho! Who's there?"
32450,Hamlet,FRANCISCO,Enter HORATIO and MARCELLUS
32451,Hamlet,HORATIO,Friends to this ground.
32452,Hamlet,MARCELLUS,And liegemen to the Dane.
32453,Hamlet,FRANCISCO,Give you good night.
32454,Hamlet,MARCELLUS,"O, farewell, honest soldier:"
32455,Hamlet,MARCELLUS,Who hath relieved you?
32456,Hamlet,FRANCISCO,Bernardo has my place.
32457,Hamlet,FRANCISCO,Give you good night.
32458,Hamlet,FRANCISCO,Exit
32459,Hamlet,MARCELLUS,Holla! Bernardo!
32460,Hamlet,BERNARDO,"Say,"
32461,Hamlet,BERNARDO,"What, is Horatio there?"
32462,Hamlet,HORATIO,A piece of him.
32463,Hamlet,BERNARDO,"Welcome, Horatio: welcome, good Marcellus."
32464,Hamlet,MARCELLUS,"What, has this thing appear'd again to-night?"
32465,Hamlet,BERNARDO,I have seen nothing.
32466,Hamlet,MARCELLUS,"Horatio says 'tis but our fantasy,"
32467,Hamlet,MARCELLUS,And will not let belief take hold of him
32468,Hamlet,MARCELLUS,"Touching this dreaded sight, twice seen of us:"
32469,Hamlet,MARCELLUS,Therefore I have entreated him along
32470,Hamlet,MARCELLUS,"With us to watch the minutes of this night,"
32471,Hamlet,MARCELLUS,"That if again this apparition come,"
32472,Hamlet,MARCELLUS,He may approve our eyes and speak to it.
